time_s,pending_tx,drain_s,vulnerable_drain_s,predicted_window_s,vulnerable_window_s,virtual
780.0,7955,384.066384,75.04416,390.066384,81.04416,459.20562500000005
792.0,7626,378.46022400000004,69.438,384.46022400000004,75.438,458.76562500000006
804.0,7296,372.83702400000004,63.814800000000005,378.83702400000004,69.8148,465.26312500000006
816.0,6930,366.600384,57.578160000000004,372.600384,63.578160000000004,486.82312500000006
828.0,6724,363.090144,54.06792,369.090144,60.06792,508.38312500000006
840.0,7583,377.727504,68.70528,383.727504,74.70528,529.943125
852.0,8407,391.768464,82.74624,397.768464,88.74624,551.503125
864.0,9194,405.178944,96.15672,411.178944,102.15672,573.0631249999999
876.0,9980,418.572384,109.55016,424.572384,115.55016,589.2793749999998
888.0,10846,433.329024,124.30680000000001,439.329024,130.3068,595.4018749999998
900.0,11563,445.54670400000003,136.52448,451.54670400000003,142.52448,616.9618749999997
912.0,11234,439.94054400000005,130.91832,445.94054400000005,136.91832,638.5218749999997
924.0,10908,436.41504000000003,124.86912000000001,442.41504000000003,130.86912,660.0818749999996
936.0,10599,433.669104,118.99032000000001,439.669104,124.99032000000001,681.6418749999996
948.0,10391,452.589648,109.97616000000001,458.589648,115.97616000000001,703.2018749999995
960.0,11207,488.259312,118.58136,494.259312,124.58136,724.7618749999995
972.0,12073,503.015952,133.338,509.015952,139.338,746.3218749999994
984.0,12799,515.3869920000001,145.70904000000002,521.3869920000001,151.70904000000002,767.8818749999994
996.0,12503,512.092752,140.2392,518.092752,146.2392,789.4418749999993
1008.0,12134,515.532768,131.58288000000002,521.532768,137.58288000000002,811.0018749999992
1020.0,11803,527.6684640000001,121.61448,533.6684640000001,127.61448,832.5618749999992
1032.0,11469,540.172944,111.49272,546.172944,117.49272,854.1218749999991
1044.0,11137,552.361584,101.49024,558.361584,107.49024,875.6818749999991
1056.0,10825,566.500656,91.43664000000001,572.500656,97.43664000000001,897.241874999999
1068.0,10494,578.636352,81.46824000000001,584.636352,87.46824000000001,918.801874999999
1080.0,10183,592.792464,71.43168,598.792464,77.43168,940.3618749999989
1092.0,9886,606.767232,61.73592,612.767232,67.73592,961.9218749999989
1104.0,9559,618.83112,51.86976000000001,624.83112,57.86976000000001,983.4818749999988
1116.0,9255,634.226256,41.679840000000006,640.226256,47.679840000000006,1005.0418749999988
1128.0,9032,652.8912,32.41008,658.8912,38.41008,1026.6018749999987
1140.0,9853,697.7439840000001,38.88528,703.7439840000001,44.88528,1048.1618749999986
1152.0,10654,719.091264,50.65992,725.091264,56.65992,1069.7218749999986
1164.0,11471,733.0129440000001,64.58160000000001,739.0129440000001,70.58160000000001,1076.0006249999985
