time_s,pending_tx,drain_s,vulnerable_drain_s,predicted_window_s,vulnerable_window_s,virtual
1584.0,325,5.538,5.538,11.538,11.538,1885.2124999999953
1596.0,37,0.63048,0.63048,6.63048,6.63048,1884.7974999999954
1608.0,32,0.54528,0.54528,6.54528,6.54528,1884.5593749999953
1620.0,53,0.90312,0.90312,6.90312,6.90312,1884.3287499999954
1632.0,52,0.8860800000000001,0.8860800000000001,6.88608,6.88608,1884.0743749999954
1644.0,41,0.69864,0.69864,6.69864,6.69864,1883.8362499999953
1656.0,153,2.60712,2.60712,8.60712,8.60712,1883.6056249999954
1668.0,1060,18.0624,18.0624,24.0624,24.0624,1883.1656249999953
1680.0,1765,30.0756,30.0756,36.0756,36.0756,1882.7256249999953
1692.0,1513,25.78152,25.78152,31.78152,31.78152,1882.2856249999952
1704.0,1230,20.959200000000003,20.959200000000003,26.959200000000003,26.959200000000003,1881.8456249999952
1716.0,931,15.86424,15.86424,21.864240000000002,21.864240000000002,1881.405624999995
1728.0,634,10.803360000000001,10.803360000000001,16.80336,16.80336,1880.965624999995
1740.0,308,5.2483200000000005,5.2483200000000005,11.24832,11.24832,1880.525624999995
1752.0,32,0.54528,0.54528,6.54528,6.54528,1880.126249999995
1764.0,32,0.54528,0.54528,6.54528,6.54528,1879.884999999995
1776.0,45,0.7668,0.7668,6.7668,6.7668,1879.659999999995
1788.0,29,0.49416000000000004,0.49416000000000004,6.49416,6.49416,1879.3924999999952
1800.0,28,0.47712000000000004,0.47712000000000004,6.47712,6.47712,1879.1606249999952
1812.0,41,0.69864,0.69864,6.69864,6.69864,1878.9274999999952
1824.0,51,0.86904,0.86904,6.86904,6.86904,1878.7024999999953
1836.0,40,0.6816000000000001,0.6816000000000001,6.6816,6.6816,1878.4668749999953
1848.0,40,0.6816000000000001,0.6816000000000001,6.6816,6.6816,1878.2274999999952
1860.0,44,0.7497600000000001,0.7497600000000001,6.74976,6.74976,1877.9712499999953
1872.0,40,0.6816000000000001,0.6816000000000001,6.6816,6.6816,1877.7212499999953
1884.0,27,0.46008000000000004,0.46008000000000004,6.46008,6.46008,1877.4581249999953
1896.0,28,0.47712000000000004,0.47712000000000004,6.47712,6.47712,1877.2174999999954
1908.0,37,0.63048,0.63048,6.63048,6.63048,1876.9931249999954
1920.0,43,0.73272,0.73272,6.7327200000000005,6.7327200000000005,1876.7699999999954
1932.0,32,0.54528,0.54528,6.54528,6.54528,1876.5343749999954
1944.0,55,0.9372,0.9372,6.9372,6.9372,1876.2993749999955
1956.0,38,0.64752,0.64752,6.64752,6.64752,1876.0456249999954
1968.0,33,0.56232,0.56232,6.56232,6.56232,1875.8218749999953
1980.0,154,2.6241600000000003,2.6241600000000003,8.62416,8.62416,1875.5849999999953
1992.0,1001,17.05704,17.05704,23.05704,23.05704,1875.1449999999952
2004.0,1801,30.689040000000002,30.689040000000002,36.689040000000006,36.689040000000006,1874.7049999999952
